ID	DOCULECT	CONCEPT	FORM	TOKENS	ALIGNMENT	COGIDS	COGIDS	NOTE
38	Uipo (Maringic)	thirty eight	som–tʰum–ləi–təcət	s o m + tʰ u m + l əi + t ə + c ə t	s o m + tʰ u m + l əi + t ə + c ə t	tens three and PFX5 eight	20 57 56 54 8	
39	Uipo (Maringic)	thirty nine	som–tʰum–ləi–təku	s o m + tʰ u m + l əi + t ə + k u	s o m + tʰ u m + l əi + t ə + k u	tens three and PFX5 nine	20 57 56 54 9	
40	Uipo (Maringic)	forty	som–tʰum–ləi–cip–kʰəe	s o m + tʰ u m + l əi + c i p + kʰ əe	s o m + tʰ u m + l əi + c i p + kʰ əe	tens three and ten one	20 57 56 10 55	
#@highlight=TOKENS|ALIGNMENT|SEGMENTS
#@sampa=IPA|TOKENS|SEGMENTS|TRANSCRIPTION
#@css=menu:show|database:hide
#@basics=DOCULECT|GLOSS|CONCEPT|IPA|TOKENS|COGID|TAXON|TAXA|PROTO|PROTO_TOKENS|ETYMONID|CHINESE|CONCEPTLIST|ORTHOGRAPHY|WORD|TRANSCRIPTION|SEGMENTS|PARTIALIDS|NOTE
#@_selected_doculects=Uipo (Maringic)
#@_selected_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@sorted_taxa=Uipo (Maringic)
#@sorted_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@display=filedisplay|ialms
#@missing_marker=Ø
#@separator=
#@gap_marker=-
#@formatter=false
#@root_formatter=COGIDS
#@note_formatter=NOTE
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=data for Christoph - khoi1251.tsv
#@navbar=true
#@_morphology_mode=full
