ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	NOTES	SOURCE
18	Paraguayan Guarani	eighteen	papoapy	papoapɨ	p a + p o + -/ᵐb -/o -/h a p ɨ	8 3 2007	ten five three		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
19	Paraguayan Guarani	nineteen	paporundy	papoɾuⁿdɨ	p a + p o + -/i ɾ u ⁿd ɨ	8 3 2001	ten five four		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
20	Paraguayan Guarani	twenty	mokõipa	mokõipa	m o k õ i + p a	2 8	two ten		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
21	Paraguayan Guarani	twenty-one	mokõipa peteĩ	mokõipa peteĩ	m o k õ i + p a + p e t e ĩ	2 8 10	two ten one		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
22	Paraguayan Guarani	twenty-two	mokõipa mokõi	mokõipa mokõi	m o k õ i + p a + m o k õ i	2 8 2002	two ten two		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
23	Paraguayan Guarani	twenty-three	mokõipa mbohapy	mokõipa ᵐbohapɨ	m o k õ i + p a + ᵐb o h a p ɨ	2 8 2007	two ten three		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
24	Paraguayan Guarani	twenty-four	mokõipa irundy	mokõipa iɾuⁿdɨ	m o k õ i + p a + i ɾ u ⁿd ɨ	2 8 2001	two ten four		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
25	Paraguayan Guarani	twenty-five	mokõipa po	mokõipa po	m o k õ i + p a + p o	2 8 2003	two ten five		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
26	Paraguayan Guarani	twenty-six	mokõipa poteĩ	mokõipa poteĩ	m o k õ i + p a + p o + -/p -/e t e ĩ	2 8 3 10	two ten five one		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
27	Paraguayan Guarani	twenty-seven	mokõipa pokõi	mokõipa pokõi	m o k õ i + p a + p o + -/m -/o k õ i	2 8 3 2	two ten five two		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
28	Paraguayan Guarani	twenty-eight	mokõipa poapy	mokõipa poapɨ	m o k õ i + p a + p o + -/ᵐb -/o -/h a p ɨ	2 8 3 7	two ten five three		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
29	Paraguayan Guarani	twenty-nine	mokõipa porundy	mokõipa poɾuⁿdɨ	m o k õ i + p a + p o + -/i ɾ u ⁿd ɨ	2 8 3 1	two ten five four		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
30	Paraguayan Guarani	thirty	mbohapypa	ᵐbohapɨpa	ᵐb o h a p ɨ + p a	7 8	three ten		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
31	Paraguayan Guarani	thirty-one	mbohapypa peteĩ	ᵐbohapɨpa  peteĩ	ᵐb o h a p ɨ + p a + p e t e ĩ	7 8 10	three ten one		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
32	Paraguayan Guarani	thirty-two	mbohapypa mokõi	ᵐbohapɨpa  mokõi	ᵐb o h a p ɨ + p a + m o k õ i	7 8 2002	three ten two		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
33	Paraguayan Guarani	thirty-three	mbohapypa mbohapy	ᵐbohapɨpa ᵐbohapɨ	ᵐb o h a p ɨ + p a + ᵐb o h a p ɨ	7 8 2007	three ten three		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
34	Paraguayan Guarani	thirty-four	mbohapypa irundy	ᵐbohapɨpa iɾuⁿdɨ	ᵐb o h a p ɨ + p a + i ɾ u ⁿd ɨ	7 8 2001	three ten four		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
35	Paraguayan Guarani	thirty-five	mbohapypa po	ᵐbohapɨpa po	ᵐb o h a p ɨ + p a + p o	7 8 2003	three ten five		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
36	Paraguayan Guarani	thirty-six	mbohapypa poteĩ	ᵐbohapɨpa poteĩ	ᵐb o h a p ɨ + p a + p o + -/p -/e t e ĩ	7 8 3 10	three ten five one		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
37	Paraguayan Guarani	thirty-seven	mbohapypa pokõi	ᵐbohapɨpa pokõi	ᵐb o h a p ɨ + p a + p o + -/m -/o k õ i	7 8 3 2	three ten five two		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
38	Paraguayan Guarani	thirty-eight	mbohapypa poapy	ᵐbohapɨpa poapɨ	ᵐb o h a p ɨ + p a + p o + -/ᵐb -/o -/h a p ɨ	7 8 3 7	three ten five three		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
39	Paraguayan Guarani	thirty-nine	mbohapypa porundy	ᵐbohapɨpa poɾuⁿdɨ	ᵐb o h a p ɨ + p a + p o + -/i ɾ u ⁿd ɨ	7 8 3 1	three ten five four		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
40	Paraguayan Guarani	fourty	irundypa	iɾuⁿdɨpa	i ɾ u ⁿd ɨ + p a	1 8	four ten		ParaguayanGuarani1[100] ParaguayanGuarani2[155]
