ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGID	NOTE
48	Lamjung Yolmo	twenty seven	ɲídʑu tìn	ɲ í + d ʑ u + t ì n	two ten seven	ɲ í + d ʑ u + t ì n + ɲ í + d ʑ u + t ì n + ɲ í + d ʑ u + t ì n	2 10 7	decimal
28	Lamjung Yolmo	twenty eight	khál tɕíi kyèe	k h á l + t ɕ í i + k y è e	twenty one eight	k h á l + t ɕ í i + k y è e + k h á l + t ɕ í i + k y è e + k h á l + t ɕ í i + k y è e	11 1 8	vigesimal
49	Lamjung Yolmo	twenty eight	ɲídʑu kyèe	ɲ í + d ʑ u + k y è e	two ten eight	ɲ í + d ʑ u + k y è e + ɲ í + d ʑ u + k y è e + ɲ í + d ʑ u + k y è e	2 10 8	decimal
29	Lamjung Yolmo	twenty nine	khál tɕíi kù	k h á l + t ɕ í i + k ù	twenty one nine	k h á l + t ɕ í i + k ù + k h á l + t ɕ í i + k ù + k h á l + t ɕ í i + k ù	11 1 9	vigesimal
50	Lamjung Yolmo	twenty nine	ɲídʑu kù	ɲ í + d ʑ u + k ù	two ten nine	ɲ í + d ʑ u + k ù + ɲ í + d ʑ u + k ù + ɲ í + d ʑ u + k ù	2 10 9	decimal
30	Lamjung Yolmo	thirty	khál tɕíi tɕú	k h á l + t ɕ í i + t ɕ ú	twenty one ten	k h á l + t ɕ í i + t ɕ ú + k h á l + t ɕ í i + t ɕ ú + k h á l + t ɕ í i + t ɕ ú	11 1 10	vigesimal
51	Lamjung Yolmo	thirty	súmdʑu 	s ú m + d ʑ u	three ten	s ú m + d ʑ u + s ú m + d ʑ u	3 10	decimal
31	Lamjung Yolmo	thirty one	kháldʑi tɕídʑi	k h á l + d ʑ i + t ɕ í + d ʑ i	twenty one ten one	k h á l + d ʑ i + t ɕ í + d ʑ i + k h á l + d ʑ i + t ɕ í + d ʑ i + k h á l + d ʑ i + t ɕ í + d ʑ i + k h á l + d ʑ i + t ɕ í + d ʑ i	11 1 10 1	vigesimal
52	Lamjung Yolmo	thirty one	súmdʑu tɕíi	s ú m + d ʑ u + t ɕ í i	three ten one	s ú m + d ʑ u + t ɕ í i + s ú m + d ʑ u + t ɕ í i + s ú m + d ʑ u + t ɕ í i	3 10 1	decimal
32	Lamjung Yolmo	thirty two	kháldʑi tɕíɲi	k h á l + d ʑ i + t ɕ í + ɲ i	twenty one ten two	k h á l + d ʑ i + t ɕ í + ɲ i + k h á l + d ʑ i + t ɕ í + ɲ i + k h á l + d ʑ i + t ɕ í + ɲ i + k h á l + d ʑ i + t ɕ í + ɲ i	11 1 10 2	vigesimal
53	Lamjung Yolmo	thirty two	súmdʑu ɲíi	s ú m + d ʑ u + ɲ í i	three ten two	s ú m + d ʑ u + ɲ í i + s ú m + d ʑ u + ɲ í i + s ú m + d ʑ u + ɲ í i	3 10 2	decimal
33	Lamjung Yolmo	thirty three	kháldʑi tɕúpsum	k h á l + d ʑ i + t ɕ ú p + s u m	twenty one ten three	k h á l + d ʑ i + t ɕ ú p + s u m + k h á l + d ʑ i + t ɕ ú p + s u m + k h á l + d ʑ i + t ɕ ú p + s u m + k h á l + d ʑ i + t ɕ ú p + s u m	11 1 10 3	vigesimal
54	Lamjung Yolmo	thirty three	súmdʑu súm	s ú m + d ʑ u + s ú m	three ten three	s ú m + d ʑ u + s ú m + s ú m + d ʑ u + s ú m + s ú m + d ʑ u + s ú m	3 10 3	decimal
34	Lamjung Yolmo	thirty four	kháldʑi tɕúpɕi	k h á l + d ʑ i + t ɕ ú p + ɕ i	twenty one ten four	k h á l + d ʑ i + t ɕ ú p + ɕ i + k h á l + d ʑ i + t ɕ ú p + ɕ i + k h á l + d ʑ i + t ɕ ú p + ɕ i + k h á l + d ʑ i + t ɕ ú p + ɕ i	11 1 10 4	vigesimal
55	Lamjung Yolmo	thirty four	súmdʑu ʑì	s ú m + d ʑ u + ʑ ì	three ten four	s ú m + d ʑ u + ʑ ì + s ú m + d ʑ u + ʑ ì + s ú m + d ʑ u + ʑ ì	3 10 4	decimal
35	Lamjung Yolmo	thirty five	kháldʑi tɕéeŋa	k h á l + d ʑ i + t ɕ é e + ŋ a	twenty one ten five	k h á l + d ʑ i + t ɕ é e + ŋ a + k h á l + d ʑ i + t ɕ é e + ŋ a + k h á l + d ʑ i + t ɕ é e + ŋ a + k h á l + d ʑ i + t ɕ é e + ŋ a	11 1 10 5	vigesimal
56	Lamjung Yolmo	thirty five	súmdʑu ŋá	s ú m + d ʑ u + ŋ á	three ten five	s ú m + d ʑ u + ŋ á + s ú m + d ʑ u + ŋ á + s ú m + d ʑ u + ŋ á	3 10 5	decimal
36	Lamjung Yolmo	thirty six	kháldʑi tɕíiru	k h á l + d ʑ i + t ɕ í i + r u	twenty one ten six	k h á l + d ʑ i + t ɕ í i + r u + k h á l + d ʑ i + t ɕ í i + r u + k h á l + d ʑ i + t ɕ í i + r u + k h á l + d ʑ i + t ɕ í i + r u	11 1 10 6	vigesimal
57	Lamjung Yolmo	thirty six	súmdʑu ʈùu	s ú m + d ʑ u + ʈ ù u	three ten six	s ú m + d ʑ u + ʈ ù u + s ú m + d ʑ u + ʈ ù u + s ú m + d ʑ u + ʈ ù u	3 10 6	decimal
37	Lamjung Yolmo	thirty seven	kháldʑi tɕúptin	k h á l + d ʑ i + t ɕ ú p + t i n	twenty one ten seven	k h á l + d ʑ i + t ɕ ú p + t i n + k h á l + d ʑ i + t ɕ ú p + t i n + k h á l + d ʑ i + t ɕ ú p + t i n + k h á l + d ʑ i + t ɕ ú p + t i n	11 1 10 7	vigesimal
58	Lamjung Yolmo	thirty seven	súmdʑu tìn	s ú m + d ʑ u + t ì n	three ten seven	s ú m + d ʑ u + t ì n + s ú m + d ʑ u + t ì n + s ú m + d ʑ u + t ì n	3 10 7	decimal
38	Lamjung Yolmo	thirty eight	kháldʑi tɕápkye	k h á l + d ʑ i + t ɕ á p + k y e	twenty one ten eight	k h á l + d ʑ i + t ɕ á p + k y e + k h á l + d ʑ i + t ɕ á p + k y e + k h á l + d ʑ i + t ɕ á p + k y e + k h á l + d ʑ i + t ɕ á p + k y e	11 1 10 8	vigesimal
59	Lamjung Yolmo	thirty eight	súmdʑu kyèe	s ú m + d ʑ u + k y è e	three ten eight	s ú m + d ʑ u + k y è e + s ú m + d ʑ u + k y è e + s ú m + d ʑ u + k y è e	3 10 8	decimal
39	Lamjung Yolmo	thirty nine	kháldʑi tɕúrku	k h á l + d ʑ i + t ɕ ú r + k u	twenty one ten nine	k h á l + d ʑ i + t ɕ ú r + k u + k h á l + d ʑ i + t ɕ ú r + k u + k h á l + d ʑ i + t ɕ ú r + k u + k h á l + d ʑ i + t ɕ ú r + k u	11 1 10 19	vigesimal
60	Lamjung Yolmo	thirty nine	súmdʑu kù	s ú m + d ʑ u + k ù	three ten nine	s ú m + d ʑ u + k ù + s ú m + d ʑ u + k ù + s ú m + d ʑ u + k ù	3 10 9	decimal
40	Lamjung Yolmo	forty	khál ɲíi	k h á l + ɲ í i	twenty two	k h á l + ɲ í i + k h á l + ɲ í i	11 2	vigesimal
61	Lamjung Yolmo	forty	ɕíptɕu	ɕ í p + t ɕ u	four ten	ɕ í p + t ɕ u + ɕ í p + t ɕ u	4 10	decimal
#@highlight=TOKENS|ALIGNMENT|SEGMENTS
#@sampa=IPA|TOKENS|SEGMENTS|TRANSCRIPTION
#@css=menu:show|database:hide
#@basics=DOCULECT|GLOSS|CONCEPT|IPA|TOKENS|COGID|TAXON|TAXA|PROTO|PROTO_TOKENS|ETYMONID|CHINESE|CONCEPTLIST|ORTHOGRAPHY|WORD|TRANSCRIPTION|SEGMENTS|PARTIALIDS|NOTE
#@_selected_doculects=Lamjung Yolmo
#@_selected_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|ninteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@sorted_taxa=Lamjung Yolmo
#@sorted_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|ninteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@display=filedisplay
#@missing_marker=Ø
#@separator=	
#@gap_marker=-
#@formatter=COGID
#@root_formatter=false
#@note_formatter=NOTE
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=numeralpacs - lamj1247(1).tsv
#@navbar=true
#@_morphology_mode=full
