ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
20	Wayuu	eighteen	po’loo mekiisalümüin	poʔɺoː mekiːsaɺɨmɨin	p o ʔ ɺ oː + m e k iː + s a ɺ ɨ + m ɨ i n	4 14 13 6	ten ? ? ALLATIVE	Wayuu1[259]	
21	Wayuu	nineteen	po’loo mekie’etasalümüin	poʔɺoː mekieʔetasaɺɨmɨin	p o ʔ ɺ oː + m e k i/iː + e ʔ e t a + s a ɺ ɨ + m ɨ i n	4 14 18 13 6	ten ? ? ? ALLATIVE	Wayuu1[259]	
22	Wayuu	twenty	piama shikii	piama ʃikiː	p i a m a + ʃ i k iː	1 17	two ten	Wayuu1[259]	ʃikiː is the possessed form of third person feminine of 'head' (Wayuu1[254])
23	Wayuu	twenty-one	piama shikii waneeshimüin	piama ʃikiː waneːʃimɨin	p i a m a + ʃ i k iː + w a n eː + ʃ i -/a + m ɨ i n	1 17 3 5 6	two ten one MASCULINE ALLATIVE	Wayuu1[259]	
24	Wayuu	twenty-two	piama shikii piamamüin	piama ʃikiː piamamɨin	p i a m a + ʃ i k iː + p i a m a + m ɨ i n	1 17 1 6	two ten two ALLATIVE	Wayuu1[259]	
25	Wayuu	twenty-three	piama shikii apünüinmüin	piama ʃikiː apɨnɨinmɨin	p i a m a + ʃ i k iː + a p ɨ n ɨ i n + m ɨ i n	1 17 12 6	two ten three ALLATIVE	Wayuu1[259]	
26	Wayuu	twenty-four	piama shikii pienchimüin	piama ʃikiː pienʧimɨin	p i a m a + ʃ i k iː + p i e n ʧ i + m ɨ i n	1 17 8 6	two ten four ALLATIVE	Wayuu1[259]	
27	Wayuu	twenty-five	piama shikii ja’ralimüin	piama ʃikiː haʔraɺimɨin	p i a m a + ʃ i k iː + h a ʔ r a ɺ i + m ɨ i n	1 17 9 6	two ten five ALLATIVE	Wayuu1[259]	
28	Wayuu	twenty-six	piama shikii aipiruamüin	piama ʃikiː aipiruamɨin	p i a m a + ʃ i k iː + a i p i r u a + m ɨ i n	1 17 10 6	two ten six ALLATIVE	Wayuu1[259]	
29	Wayuu	twenty-seven	piama shikii akaraishimüin	piama ʃikiː akaraiʃimɨin	p i a m a + ʃ i k iː + a k a r a i ʃ i + m ɨ i n	1 17 11 6	two ten seven ALLATIVE	Wayuu1[259]	
30	Wayuu	twenty-eight	piama shikii mekiisalümüin	piama ʃikiː mekiːsaɺɨmɨin	p i a m a + ʃ i k iː + m e k iː + s a ɺ ɨ + m ɨ i n	1 17 14 13 6	two ten ? ? ALLATIVE	Wayuu1[259]	
31	Wayuu	twenty-nine	piama shikii mekie’etasalümüin	piama ʃikiː mekieʔetasaɺɨmɨin	p i a m a + ʃ i k iː + m e k i/iː + e ʔ e t a + s a ɺ ɨ + m ɨ i n	1 17 14 18 13 6	two ten ? ? ? ALLATIVE	Wayuu1[259]	
32	Wayuu	thirty	apünüin shikii	apɨnɨin ʃikiː	a p ɨ n ɨ i n + ʃ i k iː	12 17	three ten	Wayuu1[259]	
33	Wayuu	thirty-one	apünüin shikii waneeshimüin	apɨnɨin ʃikiː waneːʃimɨin	a p ɨ n ɨ i n + ʃ i k iː + w a n eː + ʃ i -/a + m ɨ i n	12 17 3 5 6	three ten one MASCULINE ALLATIVE	Wayuu1[259]	
34	Wayuu	thirty-two	apünüin shikii piamamüin	apɨnɨin ʃikiː piamamɨin	a p ɨ n ɨ i n + ʃ i k iː + p i a m a + m ɨ i n	12 17 1 6	three ten two ALLATIVE	Wayuu1[259]	
35	Wayuu	thirty-three	apünüin shikii apünüinmüin	apɨnɨin ʃikiː apɨnɨinmɨin	a p ɨ n ɨ i n + ʃ i k iː + a p ɨ n ɨ i n + m ɨ i n	12 17 12 6	three ten three ALLATIVE	Wayuu1[259]	
36	Wayuu	thirty-four	apünüin shikii pienchimüin	apɨnɨin ʃikiː pienʧimɨin	a p ɨ n ɨ i n + ʃ i k iː + p i e n ʧ i + m ɨ i n	12 17 8 6	three ten four ALLATIVE	Wayuu1[259]	
37	Wayuu	thirty-five	apünüin shikii ja’ralimüin	apɨnɨin ʃikiː haʔraɺimɨin	a p ɨ n ɨ i n + ʃ i k iː + h a ʔ r a ɺ i + m ɨ i n	12 17 9 6	three ten five ALLATIVE	Wayuu1[259]	
38	Wayuu	thirty-six	apünüin shikii aipiruamüin	apɨnɨin ʃikiː aipiruamɨin	a p ɨ n ɨ i n + ʃ i k iː + a i p i r u a + m ɨ i n	12 17 10 6	three ten six ALLATIVE	Wayuu1[259]	
39	Wayuu	thirty-seven	apünüin shikii akaraishimüin	apɨnɨin ʃikiː akaraiʃimɨin	a p ɨ n ɨ i n + ʃ i k iː + a k a r a i ʃ i + m ɨ i n	12 17 11 6	three ten seven ALLATIVE	Wayuu1[259]	
40	Wayuu	thirty-eight	apünüin shikii mekiisalümüin	apɨnɨin ʃikiː mekiːsaɺɨmɨin	a p ɨ n ɨ i n + ʃ i k iː + m e k iː + s a ɺ ɨ + m ɨ i n	12 17 7 13 6	three ten ? ? ALLATIVE	Wayuu1[259]	
41	Wayuu	thirty-nine	apünüin shikii mekie’etasalüimüin	apɨnɨin ʃikiː mekieʔetasaɺɨmɨin	a p ɨ n ɨ i n + ʃ i k iː + m e k i/iː + e ʔ e t a + s a ɺ ɨ + m ɨ i n	12 17 14 18 13 6	three ten ? ? ? ALLATIVE	Wayuu1[259]	
42	Wayuu	fourty	pienchi shikii	pienʧi ʃikiː	p i e n ʧ i + ʃ i k iː	8 17	four ten	Wayuu1[259]	
