ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE
23	Huallaga_Quechua	twenty three	ishcay chunca quimsa	iʃkaj tʃuŋka kimsa	i ʃ k a j + tʃ u ŋ k a + k i m s a	2 10 2005	two ten three	HuallagaQuechua1 HuallagaQuechua2[645]
24	Huallaga_Quechua	twenty four	ishcay chunca chuscu	iʃkaj tʃuŋka tʃusku	i ʃ k a j + tʃ u ŋ k a + tʃ u s k u	2 10 11	two ten four	HuallagaQuechua1 HuallagaQuechua2[645]
25	Huallaga_Quechua	twenty five	ishcay chunca pichga	iʃkaj tʃuŋka pitʃqa	i ʃ k a j + tʃ u ŋ k a + p i tʃ q a	2 10 2006	two ten five	HuallagaQuechua1 HuallagaQuechua2[645]
26	Huallaga_Quechua	twenty six	ishcay chunca sojta	iʃkaj tʃuŋka soqta	i ʃ k a j + tʃ u ŋ k a + s o q t a	2 10 2009	two ten six	HuallagaQuechua1 HuallagaQuechua2[645]
27	Huallaga_Quechua	twenty seven	ishcay chunca ganchis	iʃkaj tʃuŋka qantʃis	i ʃ k a j + tʃ u ŋ k a + q a n tʃ i s	2 10 2008	two ten seven	HuallagaQuechua1 HuallagaQuechua2[645]
28	Huallaga_Quechua	twenty eight	ishcay chunca pusaj	iʃkaj tʃuŋka pusaq	i ʃ k a j + tʃ u ŋ k a + p u s a q	2 10 2007	two ten eight	HuallagaQuechua1 HuallagaQuechua2[645]
29	Huallaga_Quechua	twenty nine	ishcay chunca isgon	iʃkaj tʃuŋka isqon	i ʃ k a j + tʃ u ŋ k a + i s q o n	2 10 2004	two ten nine	HuallagaQuechua1 HuallagaQuechua2[645]
30	Huallaga_Quechua	thirty	quimsa chunca	kimsa tʃuŋka	k i m s a + tʃ u ŋ k a	5 10	three ten	HuallagaQuechua1 HuallagaQuechua2[645]
31	Huallaga_Quechua	thirty one	quimsa chunca juc	kimsa tʃuŋka huk	k i m s a + tʃ u ŋ k a + h u k	5 10 2001	three ten one	HuallagaQuechua1 HuallagaQuechua2[645]
32	Huallaga_Quechua	thirty two	quimsa chunca ishcay	kimsa tʃuŋka iʃkaj	k i m s a + tʃ u ŋ k a + i ʃ k a j	5 10 2002	three ten two	HuallagaQuechua1 HuallagaQuechua2[645]
33	Huallaga_Quechua	thirty three	quimsa chunca quimsa	kimsa tʃuŋka kimsa	k i m s a + tʃ u ŋ k a + k i m s a	5 10 2005	three ten three	HuallagaQuechua1 HuallagaQuechua2[645]
34	Huallaga_Quechua	thirty four	quimsa chunca chuscu	kimsa tʃuŋka tʃusku	k i m s a + tʃ u ŋ k a + tʃ u s k u	5 10 11	three ten four	HuallagaQuechua1 HuallagaQuechua2[645]
35	Huallaga_Quechua	thirty five	quimsa chunca pichga	kimsa tʃuŋka pitʃqa	k i m s a + tʃ u ŋ k a + p i tʃ q a	5 10 2006	three ten five	HuallagaQuechua1 HuallagaQuechua2[645]
36	Huallaga_Quechua	thirty six	quimsa chunca sojta	kimsa tʃuŋka soqta	k i m s a + tʃ u ŋ k a + s o q t a	5 10 2009	three ten six	HuallagaQuechua1 HuallagaQuechua2[645]
37	Huallaga_Quechua	thirty seven	quimsa chunca ganchis	kimsa tʃuŋka qantʃis	k i m s a + tʃ u ŋ k a + q a n tʃ i s	5 10 2008	three ten seven	HuallagaQuechua1 HuallagaQuechua2[645]
38	Huallaga_Quechua	thirty eight	quimsa chunca pusaj	kimsa tʃuŋka pusaq	k i m s a + tʃ u ŋ k a + p u s a q	5 10 2007	three ten eight	HuallagaQuechua1 HuallagaQuechua2[645]
39	Huallaga_Quechua	thirty nine	quimsa chunca isgon	kimsa tʃuŋka isqon	k i m s a + tʃ u ŋ k a + i s q o n	5 10 2004	three ten nine	HuallagaQuechua1 HuallagaQuechua2[645]
40	Huallaga_Quechua	forty	chuscu chunca	tʃusku tʃuŋka	tʃ u s k u + tʃ u ŋ k a	11 10	four ten	HuallagaQuechua1 HuallagaQuechua2[645]
