ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	NOTES	SOURCE
74	Wayuu	seventy two	akaraishi shikii piamamüin	akaraiʃi ʃikiː piamamɨin	a k a r a i ʃ i + ʃ i k iː + p i a m a + m ɨ i n	11 17 20 6	seven ten2 two ALLATIVE		Wayuu1[260]
75	Wayuu	seventy three	akaraishi shikii apünüinmüin	akaraiʃi ʃikiː apɨnɨinmɨin	a k a r a i ʃ i + ʃ i k iː + a p ɨ n ɨ i n + m ɨ i n	11 17 12 6	seven ten2 three ALLATIVE		Wayuu1[260]
76	Wayuu	seventy four	akaraishi shikii pienchimüin	akaraiʃi ʃikiː pientʃimɨin	a k a r a i ʃ i + ʃ i k iː + p i e n tʃ i + m ɨ i n	11 17 1 6	seven ten2 four ALLATIVE		Wayuu1[260]
77	Wayuu	seventy five	akaraishi shikii ja’ralimüin	akaraiʃi ʃikiː haʔraɺimɨin	a k a r a i ʃ i + ʃ i k iː + h a ʔ r a ɺ i + m ɨ i n	11 17 9 6	seven ten2 five ALLATIVE		Wayuu1[260]
78	Wayuu	seventy six	akaraishi shikii aipiruamüin	akaraiʃi ʃikiː aipiruamɨin	a k a r a i ʃ i + ʃ i k iː + a i p i r u a + m ɨ i n	11 17 24 6	seven ten2 six ALLATIVE		Wayuu1[260]
79	Wayuu	seventy seven	akaraishi shikii akaraishimüin	akaraiʃi ʃikiː akaraiʃimɨin	a k a r a i ʃ i + ʃ i k iː + a k a r a i ʃ i + m ɨ i n	11 17 11 6	seven ten2 seven ALLATIVE		Wayuu1[260]
80	Wayuu	seventy eight	akaraishi shikii mekiisalümüin	akaraiʃi ʃikiː mekiːsaɺɨmɨin	a k a r a i ʃ i + ʃ i k iː + m e k iː s a ɺ ɨ + m ɨ i n	11 17 13 6	seven ten2 eight ALLATIVE		Wayuu1[260]
81	Wayuu	seventy nine	akaraishi shikii mekie’etasalüimüin	akaraiʃi ʃikiː mekieʔetasaɺɨmɨin	a k a r a i ʃ i + ʃ i k iː + m e k i e ʔ e t a s a ɺ ɨ + m ɨ i n	11 17 10 6	seven ten2 nine ALLATIVE		Wayuu1[260]
82	Wayuu	eighty	mekiisalü shikii	mekiːsaɺɨ ʃikiː	m e k iː s a ɺ ɨ + ʃ i k iː	13 17	eight ten2		Wayuu1[260]
83	Wayuu	eighty one	mekiisalü shikii waneeshimüin	mekiːsaɺɨ ʃikiː waneːʃimɨin	m e k iː s a ɺ ɨ + ʃ i k iː + w a n eː + ʃ i -/a + m ɨ i n	13 17 3 7 6	eight ten2 one MASCULINE ALLATIVE		Wayuu1[260]
84	Wayuu	eighty two	mekiisalü shikii piamamüin	mekiːsaɺɨ ʃikiː piamamɨin	m e k iː s a ɺ ɨ + ʃ i k iː + p i a m a + m ɨ i n	13 17 20 6	eight ten2 two ALLATIVE		Wayuu1[260]
85	Wayuu	eighty three	mekiisalü shikii apünüinmüin	mekiːsaɺɨ ʃikiː apɨnɨinmɨin	m e k iː s a ɺ ɨ + ʃ i k iː + a p ɨ n ɨ i n + m ɨ i n	13 17 12 6	eight ten2 three ALLATIVE		Wayuu1[260]
86	Wayuu	eighty four	mekiisalü shikii pienchimüin	mekiːsaɺɨ ʃikiː pientʃimɨin	m e k iː s a ɺ ɨ + ʃ i k iː + p i e n tʃ i + m ɨ i n	13 17 1 6	eight ten2 four ALLATIVE		Wayuu1[260]
87	Wayuu	eighty five	mekiisalü shikii ja’ralimüin	mekiːsaɺɨ ʃikiː haʔraɺimɨin	m e k iː s a ɺ ɨ + ʃ i k iː + h a ʔ r a ɺ i + m ɨ i n	13 17 9 6	eight ten2 five ALLATIVE		Wayuu1[260]
88	Wayuu	eighty six	mekiisalü shikii aipiruamüin	mekiːsaɺɨ ʃikiː aipiruamɨin	m e k iː s a ɺ ɨ + ʃ i k iː + a i p i r u a + m ɨ i n	13 17 24 6	eight ten2 six ALLATIVE		Wayuu1[261]
89	Wayuu	eighty seven	mekiisalü shikii akaraishimüin	mekiːsaɺɨ ʃikiː akaraiʃimɨin	m e k iː s a ɺ ɨ + ʃ i k iː + a k a r a i ʃ i + m ɨ i n	13 17 11 6	eight ten2 seven ALLATIVE		Wayuu1[261]
90	Wayuu	eighty eight	mekiisalü shikii mekiisalümüin	mekiːsaɺɨ ʃikiː mekiːsaɺɨmɨin	m e k iː s a ɺ ɨ + ʃ i k iː + m e k iː s a ɺ ɨ + m ɨ i n	13 17 13 6	eight ten2 eight ALLATIVE		Wayuu1[261]
91	Wayuu	eighty nine	mekiisalü shikii mekie’etasalüimüin	mekiːsaɺɨ ʃikiː mekieʔetasaɺɨmɨin	m e k iː s a ɺ ɨ + ʃ i k iː + m e k i e ʔ e t a s a ɺ ɨ + m ɨ i n	13 17 10 6	eight ten2 nine ALLATIVE		Wayuu1[261]
92	Wayuu	ninety	mekie’etasalü shikii	mekieʔetasaɺɨ ʃikiː	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː	10 17	nine ten2		Wayuu1[261]
93	Wayuu	ninety one	mekie’etasalü shikii waneeshimüin	mekieʔetasaɺɨ ʃikiː waneːʃimɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + w a n eː + ʃ i -/a + m ɨ i n	10 17 3 7 6	nine ten2 one MASCULINE ALLATIVE		Wayuu1[261]
94	Wayuu	ninety two	mekie’etasalü shikii piamamüin	mekieʔetasaɺɨ ʃikiː piamamɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + p i a m a + m ɨ i n	10 17 20 6	nine ten2 two ALLATIVE		Wayuu1[261]
95	Wayuu	ninety three	mekie’etasalü shikii apünüinmüin	mekieʔetasaɺɨ ʃikiː apɨnɨinmɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + a p ɨ n ɨ i n + m ɨ i n	10 17 12 6	nine ten2 three ALLATIVE		Wayuu1[261]
96	Wayuu	ninety four	mekie’etasalü shikii pienchimüin	mekieʔetasaɺɨ ʃikiː pientʃimɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + p i e n tʃ i + m ɨ i n	10 17 1 6	nine ten2 four ALLATIVE		Wayuu1[261]
97	Wayuu	ninety five	mekie’etasalü shikii ja’ralimüin	mekieʔetasaɺɨ ʃikiː haʔraɺimɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + h a ʔ r a ɺ i + m ɨ i n	10 17 9 6	nine ten2 five ALLATIVE		Wayuu1[261]
98	Wayuu	ninety six	mekie’etasalü shikii aipiruamüin	mekieʔetasaɺɨ ʃikiː aipiruamɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + a i p i r u a + m ɨ i n	10 17 24 6	nine ten2 six ALLATIVE		Wayuu1[261]
99	Wayuu	ninety seven	mekie’etasalü shikii akaraishimüin	mekieʔetasaɺɨ ʃikiː akaraiʃimɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + a k a r a i ʃ i + m ɨ i n	10 17 11 6	nine ten2 seven ALLATIVE		Wayuu1[261]
100	Wayuu	ninety eight	mekie’etasalü shikii mekiisalümüin	mekieʔetasaɺɨ ʃikiː mekiːsaɺɨmɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + m e k iː s a ɺ ɨ + m ɨ i n	10 17 13 6	nine ten2 eight ALLATIVE		Wayuu1[261]
101	Wayuu	ninety nine	mekie’etasalü shikii mekie’etasalüimüin	mekieʔetasaɺɨ ʃikiː mekieʔetasaɺɨmɨin	m e k i e ʔ e t a s a ɺ ɨ + ʃ i k iː + m e k i e ʔ e t a s a ɺ ɨ + m ɨ i n	10 17 10 6	nine ten2 nine ALLATIVE	NULL	Wayuu1[261]
