ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	SOURCE
48	Yiddish	forty eight	אַכט און פֿערציק	aχtʊnfɛʁtsɪk	a χ t + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	eight and four ty	8 14 4 13		Jacobs2005Yiddish
49	Yiddish	forty nine	נײַן און פֿערציק	naɪnʊnfɛʁtsɪk	n aɪ n + ʊ n + f ɛ/ɪ ʁ + ts ɪ k	nine and four ty	9 14 4 13		Jacobs2005Yiddish
50	Yiddish	fifty	פֿופֿציק	fʊftsɪk	f ʊ/ɪ -/n f + ts ɪ k	five ty	5 13		Jacobs2005Yiddish
51	Yiddish	fifty one	אײנס און פֿופֿציק	ɛɪnʊnfʊftsɪk	ɛɪ n -/s + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	one and five ty	1 14 5 13		Jacobs2005Yiddish
52	Yiddish	fifty two	צװײ און פֿופֿציק	tsvɛɪʊnfʊftsɪk	ts v ɛɪ + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	two and five ty	2 14 5 13		Jacobs2005Yiddish
53	Yiddish	fifty three	דרײַ און פֿופֿציק	dʁaɪʊnfʊftsɪk	d ʁ aɪ + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	three and five ty	3 14 5 13		Jacobs2005Yiddish
54	Yiddish	fifty four	פֿֿיר און פֿופֿציק	fɪʁʊnfʊftsɪk	f ɪ ʁ + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	four and five ty	4 14 5 13		Jacobs2005Yiddish
55	Yiddish	fifty five	פֿֿינף און פֿופֿציק	fɪnfʊnfʊftsɪk	f ɪ n f + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	five and five ty	5 14 5 13		Jacobs2005Yiddish
56	Yiddish	fifty six	זעקס און פֿופֿציק	zɛksʊnfʊftsɪk	z ɛ k s + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	six and five ty	6 14 5 13		Jacobs2005Yiddish
57	Yiddish	fifty seven	זיבן און פֿופֿציק	zɪbnʊnfʊftsɪk	z ɪ b n + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	seven and five ty	7 14 5 13		Jacobs2005Yiddish
58	Yiddish	fifty eight	אַכט און פֿופֿציק	aχtʊnfʊftsɪk	a χ t + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	eight and five ty	8 14 5 13		Jacobs2005Yiddish
59	Yiddish	fifty nine	נײַן און פֿופֿציק	naɪnʊnfʊftsɪk	n aɪ n + ʊ n + f ʊ/ɪ -/n f + ts ɪ k	nine and five ty	9 14 5 13		Jacobs2005Yiddish
60	Yiddish	sixty	זעכציק	zɛχtsɪk	z ɛ χ/k -/s + ts ɪ k	six ty	6 13		Jacobs2005Yiddish
61	Yiddish	sixty one	אײנס און זעכציק	ɛɪnʊnzɛχtsɪk	ɛɪ n -/s + ʊ n + z ɛ χ/k -/s + ts ɪ k	one and six ty	1 14 6 13		Jacobs2005Yiddish
62	Yiddish	sixty two	צװײ און זעכציק	tsvɛɪʊnzɛχtsɪk	ts v ɛɪ + ʊ n + z ɛ χ/k -/s + ts ɪ k	two and six ty	2 14 6 13		Jacobs2005Yiddish
63	Yiddish	sixty three	דרײַ און זעכציק	dʁaɪʊnzɛχtsɪk	d ʁ aɪ + ʊ n + z ɛ χ/k -/s + ts ɪ k	three and six ty	3 14 6 13		Jacobs2005Yiddish
64	Yiddish	sixty four	פֿֿיר און זעכציק	fɪʁʊnzɛχtsɪk	f ɪ ʁ + ʊ n + z ɛ χ/k -/s + ts ɪ k	four and six ty	4 14 6 13		Jacobs2005Yiddish
65	Yiddish	sixty five	פֿֿינף און זעכציק	fɪnfʊnzɛχtsɪk	f ɪ n f + ʊ n + z ɛ χ/k -/s + ts ɪ k	five and six ty	5 14 6 13		Jacobs2005Yiddish
66	Yiddish	sixty six	זעקס און זעכציק	zɛksʊnzɛχtsɪk	z ɛ k s + ʊ n + z ɛ χ/k -/s + ts ɪ k	six and six ty	6 14 6 13		Jacobs2005Yiddish
67	Yiddish	sixty seven	זיבן און זעכציק	zɪbnʊnzɛχtsɪk	z ɪ b n + ʊ n + z ɛ χ/k -/s + ts ɪ k	seven and six ty	7 14 6 13		Jacobs2005Yiddish
68	Yiddish	sixty eight	אַכט און זעכציק	aχtʊnzɛχtsɪk	a χ t + ʊ n + z ɛ χ/k -/s + ts ɪ k	eight and six ty	8 14 6 13		Jacobs2005Yiddish
69	Yiddish	sixty nine	נײַן און זעכציק	naɪnʊnzɛχtsɪk	n aɪ n + ʊ n + z ɛ χ/k -/s + ts ɪ k	nine and six ty	9 14 6 13		Jacobs2005Yiddish
70	Yiddish	seventy	זיבעציק	zɪbətsɪk	z ɪ b ə/- -/n + ts ɪ k	seven ty	7 13		Jacobs2005Yiddish
71	Yiddish	seventy one	אײנס און זיבעציק	ɛɪnʊnzɪbətsɪk	ɛɪ n -/s + ʊ n + z ɪ b ə/- -/n + ts ɪ k	one and seven ty	1 14 7 13		Jacobs2005Yiddish
72	Yiddish	seventy two	צװײ און זיבעציק	tsvɛɪʊnzɪbətsɪk	ts v ɛɪ + ʊ n + z ɪ b ə/- -/n + ts ɪ k	two and seven ty	2 14 7 13		Jacobs2005Yiddish
73	Yiddish	seventy three	דרײַ און זיבעציק	dʁaɪʊnzɪbətsɪk	d ʁ aɪ + ʊ n + z ɪ b ə/- -/n + ts ɪ k	three and seven ty	3 14 7 13		Jacobs2005Yiddish
74	Yiddish	seventy four	פֿֿיר און זיבעציק	fɪʁʊnzɪbətsɪk	f ɪ ʁ + ʊ n + z ɪ b ə/- -/n + ts ɪ k	four and seven ty	4 14 7 13		Jacobs2005Yiddish
75	Yiddish	seventy five	פֿֿינף און זיבעציק	fɪnfʊnzɪbətsɪk	f ɪ n f + ʊ n + z ɪ b ə/- -/n + ts ɪ k	five and seven ty	5 14 7 13		Jacobs2005Yiddish
76	Yiddish	seventy six	זעקס און זיבעציק	zɛksʊnzɪbətsɪk	z ɛ k s + ʊ n + z ɪ b ə/- -/n + ts ɪ k	six and seven ty	6 14 7 13		Jacobs2005Yiddish
77	Yiddish	seventy seven	זיבן און זיבעציק	zɪbnʊnzɪbətsɪk	z ɪ b n + ʊ n + z ɪ b ə/- -/n + ts ɪ k	seven and seven ty	7 14 7 13		Jacobs2005Yiddish
78	Yiddish	seventy eight	אַכט און זיבעציק	aχtʊnzɪbətsɪk	a χ t + ʊ n + z ɪ b ə/- -/n + ts ɪ k	eight and seven ty	8 14 7 13		Jacobs2005Yiddish
79	Yiddish	seventy nine	נײַן און זיבעציק	naɪnʊnzɪbətsɪk	n aɪ n + ʊ n + z ɪ b ə/- -/n + ts ɪ k	nine and seven ty	9 14 7 13		Jacobs2005Yiddish
80	Yiddish	eighty	אַכציק	aχtsɪk	a χ -/t + ts ɪ k	eight ty	8 13		Jacobs2005Yiddish
81	Yiddish	eighty one	אײנס און אַכציק	ɛɪnʊnaχtsɪk	ɛɪ n -/s + ʊ n + a χ -/t + ts ɪ k	one and eight ty	1 14 8 13		Jacobs2005Yiddish
82	Yiddish	eighty two	צװײ און אַכציק	tsvɛɪʊnaχtsɪk	ts v ɛɪ + ʊ n + a χ -/t + ts ɪ k	two and eight ty	2 14 8 13		Jacobs2005Yiddish
83	Yiddish	eighty three	דרײַ און אַכציק	dʁaɪʊnaχtsɪk	d ʁ aɪ + ʊ n + a χ -/t + ts ɪ k	three and eight ty	3 14 8 13		Jacobs2005Yiddish
84	Yiddish	eighty four	פֿֿיר און אַכציק	fɪʁʊnaχtsɪk	f ɪ ʁ + ʊ n + a χ -/t + ts ɪ k	four and eight ty	4 14 8 13		Jacobs2005Yiddish
85	Yiddish	eighty five	פֿֿינף און אַכציק	fɪnfʊnaχtsɪk	f ɪ n f + ʊ n + a χ -/t + ts ɪ k	five and eight ty	5 14 8 13		Jacobs2005Yiddish
86	Yiddish	eighty six	זעקס און אַכציק	zɛksʊnaχtsɪk	z ɛ k s + ʊ n + a χ -/t + ts ɪ k	six and eight ty	6 14 8 13		Jacobs2005Yiddish
87	Yiddish	eighty seven	זיבן און אַכציק	zɪbnʊnaχtsɪk	z ɪ b n + ʊ n + a χ -/t + ts ɪ k	seven and eight ty	7 14 8 13		Jacobs2005Yiddish
88	Yiddish	eighty eight	אַכט און אַכציק	aχtʊnaχtsɪk	a χ t + ʊ n + a χ -/t + ts ɪ k	eight and eight ty	8 14 8 13		Jacobs2005Yiddish
89	Yiddish	eighty nine	נײַן און אַכציק	naɪnʊnaχtsɪk	n aɪ n + ʊ n + a χ -/t + ts ɪ k	nine and eight ty	9 14 8 13		Jacobs2005Yiddish
90	Yiddish	ninety	נײַנציק	naɪntsɪkaχtsɪk	n aɪ n + ts ɪ k	nine ty	9 13		Jacobs2005Yiddish
91	Yiddish	ninety one	אײנס און נײַנציק	ɛɪnʊnnaɪntsɪk	ɛɪ n -/s + ʊ n + n aɪ n + ts ɪ k	one and nine ty	1 14 9 13		Jacobs2005Yiddish
92	Yiddish	ninety two	צװײ און נײַנציק	tsvɛɪʊnnaɪntsɪk	ts v ɛɪ + ʊ n + n aɪ n + ts ɪ k	two and nine ty	2 14 9 13		Jacobs2005Yiddish
93	Yiddish	ninety three	דרײַ און נײַנציק	dʁaɪʊnnaɪntsɪk	d ʁ aɪ + ʊ n + n aɪ n + ts ɪ k	three and nine ty	3 14 9 13		Jacobs2005Yiddish
94	Yiddish	ninety four	פֿֿיר און נײַנציק	fɪʁʊnnaɪntsɪk	f ɪ ʁ + ʊ n + n aɪ n + ts ɪ k	four and nine ty	4 14 9 13		Jacobs2005Yiddish
95	Yiddish	ninety five	פֿֿינף און נײַנציק	fɪnfʊnnaɪntsɪk	f ɪ n f + ʊ n + n aɪ n + ts ɪ k	five and nine ty	5 14 9 13		Jacobs2005Yiddish
96	Yiddish	ninety six	זעקס און נײַנציק	zɛksʊnnaɪntsɪk	z ɛ k s + ʊ n + n aɪ n + ts ɪ k	six and nine ty	6 14 9 13		Jacobs2005Yiddish
97	Yiddish	ninety seven	זיבן און נײַנציק	zɪbnʊnnaɪntsɪk	z ɪ b n + ʊ n + n aɪ n + ts ɪ k	seven and nine ty	7 14 9 13		Jacobs2005Yiddish
98	Yiddish	ninety eight	אַכט און נײַנציק	aχtʊnnaɪntsɪk	a χ t + ʊ n + n aɪ n + ts ɪ k	eight and nine ty	8 14 9 13		Jacobs2005Yiddish
99	Yiddish	ninety nine	נײַן און נײַנציק	naɪnʊnnaɪntsɪk	n aɪ n + ʊ n + n aɪ n + ts ɪ k	nine and nine ty	9 14 9 13		Jacobs2005Yiddish
