ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
31	Aymara	thirty one	kimsa tunka mayani	kimsa tunka majani	k i m s a + t u n k a + m a j a + n i	1 5 2 10	three ten one ENUMERATOR	Aymara3	
32	Aymara	thirty two	kimsa tunka payani	kimsa tunka pajani	k i m s a + t u n k a + p a j a + n i	1 5 3 10	three ten two ENUMERATOR	Aymara3	
33	Aymara	thirty three	kimsa tunka kimsani	kimsa tunka kimsani	k i m s a + t u n k a + k i m s a + n i	1 5 1 10	three ten three ENUMERATOR	Aymara3	
34	Aymara	thirty four	kimsa tunka pusini	kimsa tunka pusini	k i m s a + t u n k a + p u s i + n i	1 5 8 10	three ten four ENUMERATOR	Aymara3	
35	Aymara	thirty five	kimsa tunka phisqani	kimsa tunka pʰisqani	k i m s a + t u n k a + pʰ i s q a + n i	1 5 4 10	three ten five1 ENUMERATOR	Aymara3	
36	Aymara	thirty six	kimsa tunka suxtani	kimsa tunka suχtani	k i m s a + t u n k a + s u χ t a + n i	1 5 7 10	three ten six ENUMERATOR	Aymara3	
37	Aymara	thirty seven	kimsa tunka paqallquni	kimsa tunka paqaʎquni	k i m s a + t u n k a + p a -/j -/a + q a ʎ q u + n i	1 5 3 6 10	three ten two five2 ENUMERATOR	Aymara3	
38	Aymara	thirty eight	kimsa tunka kimsaqallquni	kimsa tunka kimsaqaʎquni	k i m s a + t u n k a + k i m s a + q a ʎ q u + n i	1 5 1 6 10	three ten three five2 ENUMERATOR	Aymara3	
39	Aymara	thirty nine	kimsa tunka llätunkani	kimsa tunka ʎaːtunkani	k i m s a + t u n k a + ʎ aː + t u n k a + n i	1 5 9 5 10	three ten nearly ten ENUMERATOR	Aymara3	
40	Aymara	forty	pusi tunka	pusi tunka	p u s i + t u n k a	8 5	four ten	Aymara1[42] Aymara3	
41	Aymara	forty one	pusi tunka mayani	pusi tunka majani	p u s i + t u n k a + m a j a + n i	8 5 2 10	four ten one ENUMERATOR	Aymara3	
42	Aymara	forty two	pusi tunka payani	pusi tunka pajani	p u s i + t u n k a + p a j a + n i	8 5 3 10	four ten two ENUMERATOR	Aymara3	
43	Aymara	forty three	pusi tunka kimsani	pusi tunka kimsani	p u s i + t u n k a + k i m s a + n i	8 5 1 10	four ten three ENUMERATOR	Aymara3	
44	Aymara	forty four	pusi tunka pusini	pusi tunka pusini	p u s i + t u n k a + p u s i + n i	8 5 8 10	four ten four ENUMERATOR	Aymara3	
45	Aymara	forty five	pusi tunka phisqani	pusi tunka pʰisqani	p u s i + t u n k a + pʰ i s q a + n i	8 5 4 10	four ten five1 ENUMERATOR	Aymara3	
46	Aymara	forty six	pusi tunka suxtani	pusi tunka suχtani	p u s i + t u n k a + s u χ t a + n i	8 5 7 10	four ten six ENUMERATOR	Aymara3	
47	Aymara	forty seven	pusi tunka paqallquni	pusi tunka paqaʎquni	p u s i + t u n k a + p a -/j -/a + q a ʎ q u + n i	8 5 3 6 10	four ten two five2 ENUMERATOR	Aymara3	
48	Aymara	forty eight	pusi tunka kimsaqallquni	pusi tunka kimsaqaʎquni	p u s i + t u n k a + k i m s a + q a ʎ q u + n i	8 5 1 6 10	four ten three five2 ENUMERATOR	Aymara3	
49	Aymara	forty nine	pusi tunka llätunkani	pusi tunka ʎaːtunkani	p u s i + t u n k a + ʎ aː + t u n k a + n i	8 5 9 5 10	four ten nearly ten ENUMERATOR	Aymara3	
50	Aymara	fifty	phisqa tunka	pʰisqa tunka	pʰ i s q a + t u n k a	4 5	five1 ten	Aymara1[42]	
51	Aymara	fifty one	phisqa tunka mayani	pʰisqa tunka majani	pʰ i s q a + t u n k a + m a j a + n i	4 5 2 10	five1 ten one ENUMERATOR	Aymara3	
52	Aymara	fifty two	phisqa tunka payani	pʰisqa tunka pajani	pʰ i s q a + t u n k a + p a j a + n i	4 5 3 10	five1 ten two ENUMERATOR	Aymara3	
53	Aymara	fifty three	phisqa tunka kimsani	pʰisqa tunka kimsani	pʰ i s q a + t u n k a + k i m s a + n i	4 5 1 10	five1 ten three ENUMERATOR	Aymara3	
54	Aymara	fifty four	phisqa tunka pusini	pʰisqa tunka pusini	pʰ i s q a + t u n k a + p u s i + n i	4 5 8 10	five1 ten four ENUMERATOR	Aymara3	
55	Aymara	fifty five	phisqa tunka phisqani	pʰisqa tunka pʰisqani	pʰ i s q a + t u n k a + pʰ i s q a + n i	4 5 4 10	five1 ten five1 ENUMERATOR	Aymara3	
56	Aymara	fifty six	phisqa tunka suxtani	pʰisqa tunka suχtani	pʰ i s q a + t u n k a + s u χ t a + n i	4 5 7 10	five1 ten six ENUMERATOR	Aymara3	
57	Aymara	fifty seven	phisqa tunka paqallquni	pʰisqa tunka paqaʎquni	pʰ i s q a + t u n k a + p a -/j -/a + q a ʎ q u + n i	4 5 3 6 10	five1 ten two five2 ENUMERATOR	Aymara3	
58	Aymara	fifty eight	phisqa tunka kimsaqallquni	pʰisqa tunka kimsaqaʎquni	pʰ i s q a + t u n k a + k i m s a + q a ʎ q u + n i	4 5 1 6 10	five1 ten three five2 ENUMERATOR	Aymara3	
59	Aymara	fifty nine	phisqa tunka llätunkani	pʰisqa tunka ʎaːtunkani	pʰ i s q a + t u n k a + ʎ aː + t u n k a + n i	4 5 9 5 10	five1 ten nearly ten ENUMERATOR	Aymara3	
60	Aymara	sixty	suxta tunka	suχta tunka	s u χ t a + t u n k a	7 5	six ten	Aymara3	
61	Aymara	sixty one	suxta tunka mayani	suχta tunka majani	s u χ t a + t u n k a + m a j a + n i	7 5 2 10	six ten one ENUMERATOR	Aymara3	
62	Aymara	sixty two	suxta tunka payani	suχta tunka pajani	s u χ t a + t u n k a + p a j a + n i	7 5 3 10	six ten two ENUMERATOR	Aymara3	
63	Aymara	sixty three	suxta tunka kimsani	suχta tunka kimsani	s u χ t a + t u n k a + k i m s a + n i	7 5 1 10	six ten three ENUMERATOR	Aymara3	
64	Aymara	sixty four	suxta tunka pusini	suχta tunka pusini	s u χ t a + t u n k a + p u s i + n i	7 5 8 10	six ten four ENUMERATOR	Aymara3	
65	Aymara	sixty five	suxta tunka phisqani	suχta tunka pʰisqani	s u χ t a + t u n k a + pʰ i s q a + n i	7 5 4 10	six ten five1 ENUMERATOR	Aymara3	
66	Aymara	sixty six	suxta tunka suxtani	suχta tunka suχtani	s u χ t a + t u n k a + s u χ t a + n i	7 5 7 10	six ten six ENUMERATOR	Aymara3	
67	Aymara	sixty seven	suxta tunka paqallquni	suχta tunka paqaʎquni	s u χ t a + t u n k a + p a -/j -/a + q a ʎ q u + n i	7 5 3 6 10	six ten two five2 ENUMERATOR	Aymara3	
68	Aymara	sixty eight	suxta tunka kimsaqallquni	suχta tunka kimsaqaʎquni	s u χ t a + t u n k a + k i m s a + q a ʎ q u + n i	7 5 1 6 10	six ten three five2 ENUMERATOR	Aymara3	
69	Aymara	sixty nine	suxta tunka llätunkani	suχta tunka ʎaːtunkani	s u χ t a + t u n k a + ʎ aː + t u n k a + n i	7 5 9 5 10	six ten nearly ten ENUMERATOR	Aymara3	
70	Aymara	seventy	paqallqu tunka	paqaʎqu tunka	p a -/j -/a + q a ʎ q u + t u n k a	3 6 2005	two five2 ten	Aymara3	
71	Aymara	seventy one	paqallqu tunka mayani	paqaʎqu tunka majani	p a -/j -/a + q a ʎ q u + t u n k a + m a j a + n i	3 6 5 2 10	two five2 ten one ENUMERATOR	Aymara3	
72	Aymara	seventy two	paqallqu tunka payani	paqaʎqu tunka pajani	p a -/j -/a + q a ʎ q u + t u n k a + p a j a + n i	3 6 5 3 10	two five2 ten two ENUMERATOR	Aymara3	
73	Aymara	seventy three	paqallqu tunka kimsani	paqaʎqu tunka kimsani	p a -/j -/a + q a ʎ q u + t u n k a + k i m s a + n i	3 6 5 1 10	two five2 ten three ENUMERATOR	Aymara3	
74	Aymara	seventy four	paqallqu tunka pusini	paqaʎqu tunka pusini	p a -/j -/a + q a ʎ q u + t u n k a + p u s i + n i	3 6 5 8 10	two five2 ten four ENUMERATOR	Aymara3	
75	Aymara	seventy five	paqallqu tunka phisqani	paqaʎqu tunka pʰisqani	p a -/j -/a + q a ʎ q u + t u n k a + pʰ i s q a + n i	3 6 5 4 10	two five2 ten five1 ENUMERATOR	Aymara3	
76	Aymara	seventy six	paqallqu tunka suxtani	paqaʎqu tunka suχtani	p a -/j -/a + q a ʎ q u + t u n k a + s u χ t a + n i	3 6 5 7 10	two five2 ten six ENUMERATOR	Aymara3	
77	Aymara	seventy seven	paqallqu tunka paqallquni	paqaʎqu tunka paqaʎquni	p a -/j -/a + q a ʎ q u + t u n k a + p a -/j -/a + q a ʎ q u + n i	3 6 5 3 6 10	two five2 ten two five2 ENUMERATOR	Aymara3	
78	Aymara	seventy eight	paqallqu tunka kimsaqallquni	paqaʎqu tunka kimsaqaʎquni	p a -/j -/a + q a ʎ q u + t u n k a + k i m s a + q a ʎ q u + n i	3 6 5 1 6 10	two five2 ten three five2 ENUMERATOR	Aymara3	
79	Aymara	seventy nine	paqallqu tunka llätunkani	paqaʎqu tunka ʎaːtunkani	p a -/j -/a + q a ʎ q u + t u n k a + ʎ aː + t u n k a + n i	3 6 5 9 5 10	two five2 ten nearly ten ENUMERATOR	Aymara3	
80	Aymara	eighty	kimsaqallqu tunka	kimsaqaʎqu tunka	k i m s a + q a ʎ q u + t u n k a	1 6 2005	three five2 ten	Aymara3	
81	Aymara	eighty one	kimsaqallqu tunka mayani	kimsaqaʎqu tunka majani	k i m s a + q a ʎ q u + t u n k a + m a j a + n i	1 6 5 2 10	three five2 ten one ENUMERATOR	Aymara3	
82	Aymara	eighty two	kimsaqallqu tunka payani	kimsaqaʎqu tunka pajani	k i m s a + q a ʎ q u + t u n k a + p a j a + n i	1 6 5 3 10	three five2 ten two ENUMERATOR	Aymara3	
83	Aymara	eighty three	kimsaqallqu tunka kimsani	kimsaqaʎqu tunka kimsani	k i m s a + q a ʎ q u + t u n k a + k i m s a + n i	1 6 5 1 10	three five2 ten three ENUMERATOR	Aymara3	
84	Aymara	eighty four	kimsaqallqu tunka pusini	kimsaqaʎqu tunka pusini	k i m s a + q a ʎ q u + t u n k a + p u s i + n i	1 6 5 8 10	three five2 ten four ENUMERATOR	Aymara3	
85	Aymara	eighty five	kimsaqallqu tunka phisqani	kimsaqaʎqu tunka pʰisqani	k i m s a + q a ʎ q u + t u n k a + pʰ i s q a + n i	1 6 5 4 10	three five2 ten five1 ENUMERATOR	Aymara3	
86	Aymara	eighty six	kimsaqallqu tunka suxtani	kimsaqaʎqu tunka suχtani	k i m s a + q a ʎ q u + t u n k a + s u χ t a + n i	1 6 5 7 10	three five2 ten six ENUMERATOR	Aymara3	
87	Aymara	eighty seven	kimsaqallqu tunka paqallquni	kimsaqaʎqu tunka paqaʎquni	k i m s a + q a ʎ q u + t u n k a + p a -/j -/a + q a ʎ q u + n i	1 6 5 3 6 10	three five2 ten two five2 ENUMERATOR	Aymara3	
88	Aymara	eighty eight	kimsaqallqu tunka kimsaqallquni	kimsaqaʎqu tunka kimsaqaʎquni	k i m s a + q a ʎ q u + t u n k a + k i m s a + q a ʎ q u + n i	1 6 5 1 6 10	three five2 ten three five2 ENUMERATOR	Aymara3	
89	Aymara	eighty nine	kimsaqallqu tunka llätunkani	kimsaqaʎqu tunka ʎaːtunkani	k i m s a + q a ʎ q u + t u n k a + ʎ aː + t u n k a + n i	1 6 5 9 5 10	three five2 ten nearly ten ENUMERATOR	Aymara3	
90	Aymara	ninety	llätunka tunka	ʎaːtunka tunka	ʎ aː + t u n k a + t u n k a	9 5 2005	nearly ten ten	Aymara3	
91	Aymara	ninety one	llätunka tunka mayani	ʎaːtunka tunka majani	ʎ aː + t u n k a + t u n k a + m a j a + n i	9 5 5 2 10	nearly ten ten one ENUMERATOR	Aymara3	
92	Aymara	ninety two	llätunka tunka payani	ʎaːtunka tunka pajani	ʎ aː + t u n k a + t u n k a + p a j a + n i	9 5 5 3 10	nearly ten ten two ENUMERATOR	Aymara3	
93	Aymara	ninety three	llätunka tunka kimsani	ʎaːtunka tunka kimsani	ʎ aː + t u n k a + t u n k a + k i m s a + n i	9 5 5 1 10	nearly ten ten three ENUMERATOR	Aymara3	
94	Aymara	ninety four	llätunka tunka pusini	ʎaːtunka tunka pusini	ʎ aː + t u n k a + t u n k a + p u s i + n i	9 5 5 8 10	nearly ten ten four ENUMERATOR	Aymara3	
95	Aymara	ninety five	llätunka tunka phisqani	ʎaːtunka tunka pʰisqani	ʎ aː + t u n k a + t u n k a + pʰ i s q a + n i	9 5 5 4 10	nearly ten ten five1 ENUMERATOR	Aymara3	
96	Aymara	ninety six	llätunka tunka suxtani	ʎaːtunka tunka suχtani	ʎ aː + t u n k a + t u n k a + s u χ t a + n i	9 5 5 7 10	nearly ten ten six ENUMERATOR	Aymara3	
97	Aymara	ninety seven	llätunka tunka paqallquni	ʎaːtunka tunka paqaʎquni	ʎ aː + t u n k a + t u n k a + p a -/j -/a + q a ʎ q u + n i	9 5 5 3 6 10	nearly ten ten two five2 ENUMERATOR	Aymara3	
98	Aymara	ninety eight	llätunka tunka kimsaqallquni	ʎaːtunka tunka kimsaqaʎquni	ʎ aː + t u n k a + t u n k a + k i m s a + q a ʎ q u + n i	9 5 5 1 6 10	nearly ten ten three five2 ENUMERATOR	Aymara3	
99	Aymara	ninety nine	llätunka tunka llätunkani	ʎaːtunka tunka ʎaːtunkani	ʎ aː + t u n k a + t u n k a + ʎ aː + t u n k a + n i	9 5 5 9 5 10	nearly ten ten nearly ten ENUMERATOR	Aymara3	
100	Aymara	hundred	pataka	pataka	p a t a k a	11	hundred	Aymara1[42] Aymara2[175]	
