ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
31	Mapudungun	thirty one	küla mari kiñe	kɘla maʐi kiɲe	k ɘ l a + m a ʐ i + k i ɲ e	7 3 8	three ten one	Mapudungun2	
32	Mapudungun	thirty two	küla mari epu	kɘla maʐi epu	k ɘ l a + m a ʐ i + e p u	7 3 1	three ten two	Mapudungun2	
33	Mapudungun	thirty three	küla mari küla	kɘla maʐi kɘla	k ɘ l a + m a ʐ i + k ɘ l a	7 3 7	three ten three	Mapudungun2	
34	Mapudungun	thirty four	küla mari meli	kɘla maʐi meli	k ɘ l a + m a ʐ i + m e l i	7 3 9	three ten four	Mapudungun2	
35	Mapudungun	thirty five	küla mari kechu	kɘla maʐi ketʃu	k ɘ l a + m a ʐ i + k e tʃ u	7 3 6	three ten five	Mapudungun2
36	Mapudungun	thirty six	küla mari kayu	kɘla maʐi kaju	k ɘ l a + m a ʐ i + k a j u	7 3 5	three ten six	Mapudungun2	
37	Mapudungun	thirty seven	küla mari regle	kɘla maʐi ʐeɣle	k ɘ l a + m a ʐ i + ʐ e ɣ l e	7 3 10	three ten seven	Mapudungun2	
38	Mapudungun	thirty eight	küla mari pura	kɘla maʐi puʐa	k ɘ l a + m a ʐ i + p u ʐ a	7 3 2	three ten eight	Mapudungun2	
39	Mapudungun	thirty nine	küla mari aylla	kɘla maʐi ajʎa	k ɘ l a + m a ʐ i + a j ʎ a	7 3 4	three ten nine	Mapudungun2	
40	Mapudungun	forty	meli mari	meli maʐi	m e l i + m a ʐ i	9 3	four ten	Mapudungun2	
41	Mapudungun	forty one	meli mari kiñe	meli maʐi kiɲe	m e l i + m a ʐ i + k i ɲ e	9 3 8	four ten one	Mapudungun5	
42	Mapudungun	forty two	meli mari epu	meli maʐi epu	m e l i + m a ʐ i + e p u	9 3 1	four ten two	Mapudungun5	
43	Mapudungun	forty three	meli mari küla	meli maʐi kɘla	m e l i + m a ʐ i + k ɘ l a	9 3 7	four ten three	Mapudungun5	
44	Mapudungun	forty four	meli mari meli	meli maʐi meli	m e l i + m a ʐ i + m e l i	9 3 9	four ten four	Mapudungun5	
45	Mapudungun	forty five	meli mari kechu	meli maʐi ketʃu	m e l i + m a ʐ i + k e tʃ u	9 3 6	four ten five	Mapudungun5
46	Mapudungun	forty six	meli mari kayu	meli maʐi kaju	m e l i + m a ʐ i + k a j u	9 3 5	four ten six	Mapudungun5	
47	Mapudungun	forty seven	meli mari regle	meli maʐi ʐeɣle	m e l i + m a ʐ i + ʐ e ɣ l e	9 3 10	four ten seven	Mapudungun5	
48	Mapudungun	forty eight	meli mari pura	meli maʐi puʐa	m e l i + m a ʐ i + p u ʐ a	9 3 2	four ten eight	Mapudungun5	
49	Mapudungun	forty nine	meli mari aylla	meli maʐi ajʎa	m e l i + m a ʐ i + a j ʎ a	9 3 4	four ten nine	Mapudungun5	
50	Mapudungun	fifty	kechu mari	ketʃu maʐi	k e tʃ u + m a ʐ i	6 3	five ten	Mapudungun5
51	Mapudungun	fifty one	kechu mari kiñe	ketʃu maʐi kiɲe	k e tʃ u + m a ʐ i + k i ɲ e	6 3 8	five ten one	Mapudungun5
52	Mapudungun	fifty two	kechu mari epu	ketʃu maʐi epu	k e tʃ u + m a ʐ i + e p u	6 3 1	five ten two	Mapudungun5
53	Mapudungun	fifty three	kechu mari küla	ketʃu maʐi kɘla	k e tʃ u + m a ʐ i + k ɘ l a	6 3 7	five ten three	Mapudungun5
54	Mapudungun	fifty four	kechu mari meli	ketʃu maʐi meli	k e tʃ u + m a ʐ i + m e l i	6 3 9	five ten four	Mapudungun5
55	Mapudungun	fifty five	kechu mari kechu	ketʃu maʐi ketʃu	k e tʃ u + m a ʐ i + k e tʃ u	6 3 6	five ten five	Mapudungun5
56	Mapudungun	fifty six	kechu mari kayu	ketʃu maʐi kaju	k e tʃ u + m a ʐ i + k a j u	6 3 5	five ten six	Mapudungun5
57	Mapudungun	fifty seven	kechu mari regle	ketʃu maʐi ʐeɣle	k e tʃ u + m a ʐ i + ʐ e ɣ l e	6 3 10	five ten seven	Mapudungun5
58	Mapudungun	fifty eight	kechu mari pura	ketʃu maʐi puʐa	k e tʃ u + m a ʐ i + p u ʐ a	6 3 2	five ten eight	Mapudungun5
59	Mapudungun	fifty nine	kechu mari aylla	ketʃu maʐi ajʎa	k e tʃ u + m a ʐ i + a j ʎ a	6 3 4	five ten nine	Mapudungun5
60	Mapudungun	sixty	kayu mari	kaju maʐi	k a j u + m a ʐ i	5 3	six ten	Mapudungun5	
61	Mapudungun	sixty one	kayu mari kiñe	kaju maʐi kiɲe	k a j u + m a ʐ i + k i ɲ e	5 3 8	six ten one	Mapudungun5	
62	Mapudungun	sixty two	kayu mari epu	kaju maʐi epu	k a j u + m a ʐ i + e p u	5 3 1	six ten two	Mapudungun5	
63	Mapudungun	sixty three	kayu mari küla	kaju maʐi kɘla	k a j u + m a ʐ i + k ɘ l a	5 3 7	six ten three	Mapudungun5	
64	Mapudungun	sixty four	kayu mari meli	kaju maʐi meli	k a j u + m a ʐ i + m e l i	5 3 9	six ten four	Mapudungun5	
65	Mapudungun	sixty five	kayu mari kechu	kaju maʐi ketʃu	k a j u + m a ʐ i + k e tʃ u	5 3 6	six ten five	Mapudungun5
66	Mapudungun	sixty six	kayu mari kayu	kaju maʐi kaju	k a j u + m a ʐ i + k a j u	5 3 5	six ten six	Mapudungun5	
67	Mapudungun	sixty seven	kayu mari regle	kaju maʐi ʐeɣle	k a j u + m a ʐ i + ʐ e ɣ l e	5 3 10	six ten seven	Mapudungun5	
68	Mapudungun	sixty eight	kayu mari pura	kaju maʐi puʐa	k a j u + m a ʐ i + p u ʐ a	5 3 2	six ten eight	Mapudungun5	
69	Mapudungun	sixty nine	kayu mari aylla	kaju maʐi ajʎa	k a j u + m a ʐ i + a j ʎ a	5 3 4	six ten nine	Mapudungun5	
70	Mapudungun	seventy	regle mari	ʐeɣle maʐi	ʐ e ɣ l e + m a ʐ i	10 3	seven ten	Mapudungun5	
71	Mapudungun	seventy one	regle mari kiñe	ʐeɣle maʐi kiɲe	ʐ e ɣ l e + m a ʐ i + k i ɲ e	10 3 8	seven ten one	Mapudungun5	
72	Mapudungun	seventy two	regle mari epu	ʐeɣle maʐi epu	ʐ e ɣ l e + m a ʐ i + e p u	10 3 1	seven ten two	Mapudungun5	
73	Mapudungun	seventy three	regle mari küla	ʐeɣle maʐi kɘla	ʐ e ɣ l e + m a ʐ i + k ɘ l a	10 3 7	seven ten three	Mapudungun5	
74	Mapudungun	seventy four	regle mari meli	ʐeɣle maʐi meli	ʐ e ɣ l e + m a ʐ i + m e l i	10 3 9	seven ten four	Mapudungun5	
75	Mapudungun	seventy five	regle mari kechu	ʐeɣle maʐi ketʃu	ʐ e ɣ l e + m a ʐ i + k e tʃ u	10 3 6	seven ten five	Mapudungun5
76	Mapudungun	seventy six	regle mari kayu	ʐeɣle maʐi kaju	ʐ e ɣ l e + m a ʐ i + k a j u	10 3 5	seven ten six	Mapudungun5	
77	Mapudungun	seventy seven	regle mari regle	ʐeɣle maʐi ʐeɣle	ʐ e ɣ l e + m a ʐ i + ʐ e ɣ l e	10 3 10	seven ten seven	Mapudungun5	
78	Mapudungun	seventy eight	regle mari pura	ʐeɣle maʐi puʐa	ʐ e ɣ l e + m a ʐ i + p u ʐ a	10 3 2	seven ten eight	Mapudungun5	
79	Mapudungun	seventy nine	regle mari aylla	ʐeɣle maʐi ajʎa	ʐ e ɣ l e + m a ʐ i + a j ʎ a	10 3 4	seven ten nine	Mapudungun5	
80	Mapudungun	eighty	pura mari	puʐa maʐi	p u ʐ a + m a ʐ i	2 3	eight ten	Mapudungun5	
81	Mapudungun	eighty one	pura mari kiñe	puʐa maʐi kiɲe	p u ʐ a + m a ʐ i + k i ɲ e	2 3 8	eight ten one	Mapudungun5	
82	Mapudungun	eighty two	pura mari epu	puʐa maʐi epu	p u ʐ a + m a ʐ i + e p u	2 3 1	eight ten two	Mapudungun5	
83	Mapudungun	eighty three	pura mari küla	puʐa maʐi kɘla	p u ʐ a + m a ʐ i + k ɘ l a	2 3 7	eight ten three	Mapudungun5	
84	Mapudungun	eighty four	pura mari meli	puʐa maʐi meli	p u ʐ a + m a ʐ i + m e l i	2 3 9	eight ten four	Mapudungun5	
85	Mapudungun	eighty five	pura mari kechu	puʐa maʐi ketʃu	p u ʐ a + m a ʐ i + k e tʃ u	2 3 6	eight ten five	Mapudungun5
86	Mapudungun	eighty six	pura mari kayu	puʐa maʐi kaju	p u ʐ a + m a ʐ i + k a j u	2 3 5	eight ten six	Mapudungun5	
87	Mapudungun	eighty seven	pura mari regle	puʐa maʐi ʐeɣle	p u ʐ a + m a ʐ i + ʐ e ɣ l e	2 3 10	eight ten seven	Mapudungun5	
88	Mapudungun	eighty eight	pura mari pura	puʐa maʐi puʐa	p u ʐ a + m a ʐ i + p u ʐ a	2 3 2	eight ten eight	Mapudungun5	
89	Mapudungun	eighty nine	pura mari aylla	puʐa maʐi ajʎa	p u ʐ a + m a ʐ i + a j ʎ a	2 3 4	eight ten nine	Mapudungun5	
90	Mapudungun	ninety	aylla mari	ajʎa maʐi	a j ʎ a + m a ʐ i	4 3	nine ten	Mapudungun5	
91	Mapudungun	ninety one	aylla mari kiñe	ajʎa maʐi kiɲe	a j ʎ a + m a ʐ i + k i ɲ e	4 3 8	nine ten one	Mapudungun5	
92	Mapudungun	ninety two	aylla mari epu	ajʎa maʐi epu	a j ʎ a + m a ʐ i + e p u	4 3 1	nine ten two	Mapudungun5	
93	Mapudungun	ninety three	aylla mari küla	ajʎa maʐi kɘla	a j ʎ a + m a ʐ i + k ɘ l a	4 3 7	nine ten three	Mapudungun5	
94	Mapudungun	ninety four	aylla mari meli	ajʎa maʐi meli	a j ʎ a + m a ʐ i + m e l i	4 3 9	nine ten four	Mapudungun5	
95	Mapudungun	ninety five	aylla mari kechu	ajʎa maʐi ketʃu	a j ʎ a + m a ʐ i + k e tʃ u	4 3 6	nine ten five	Mapudungun5
96	Mapudungun	ninety six	aylla mari kayu	ajʎa maʐi kaju	a j ʎ a + m a ʐ i + k a j u	4 3 5	nine ten six	Mapudungun5	
97	Mapudungun	ninety seven	aylla mari regle	ajʎa maʐi ʐeɣle	a j ʎ a + m a ʐ i + ʐ e ɣ l e	4 3 10	nine ten seven	Mapudungun5	
98	Mapudungun	ninety eight	aylla mari pura	ajʎa maʐi puʐa	a j ʎ a + m a ʐ i + p u ʐ a	4 3 2	nine ten eight	Mapudungun5	
99	Mapudungun	ninety nine	aylla mari aylla	ajʎa maʐi ajʎa	a j ʎ a + m a ʐ i + a j ʎ a	4 3 4	nine ten nine	Mapudungun5	
